Date,USD/TWD close
1-Jan-15,31.654
2-Jan-15,31.813
5-Jan-15,32.01
6-Jan-15,32.014
7-Jan-15,31.995
8-Jan-15,31.98
9-Jan-15,31.908
12-Jan-15,31.885
13-Jan-15,31.84
14-Jan-15,31.821
15-Jan-15,31.66
16-Jan-15,31.469
19-Jan-15,31.491
20-Jan-15,31.66
21-Jan-15,31.505
22-Jan-15,31.432
23-Jan-15,31.254
26-Jan-15,31.322
27-Jan-15,31.056
28-Jan-15,31.228
29-Jan-15,31.583
30-Jan-15,31.742
2-Feb-15,31.58
3-Feb-15,31.473
4-Feb-15,31.465
5-Feb-15,31.489
6-Feb-15,31.66
9-Feb-15,31.57
10-Feb-15,31.576
11-Feb-15,31.615
12-Feb-15,31.304
13-Feb-15,31.324
16-Feb-15,31.432
17-Feb-15,31.61
18-Feb-15,31.685
19-Feb-15,31.787
20-Feb-15,31.761
23-Feb-15,31.725
24-Feb-15,31.651
25-Feb-15,31.43
26-Feb-15,31.463
27-Feb-15,31.442
2-Mar-15,31.425
3-Mar-15,31.365
4-Mar-15,31.415
5-Mar-15,31.511
6-Mar-15,31.611
9-Mar-15,31.537
10-Mar-15,31.694
11-Mar-15,31.706
12-Mar-15,31.603
13-Mar-15,31.704
16-Mar-15,31.634
17-Mar-15,31.507
18-Mar-15,31.306
19-Mar-15,31.478
20-Mar-15,31.354
23-Mar-15,31.276
24-Mar-15,31.236
25-Mar-15,31.239
26-Mar-15,31.263
27-Mar-15,31.18
30-Mar-15,31.26
31-Mar-15,31.253
1-Apr-15,31.233
2-Apr-15,31.03
3-Apr-15,30.89
6-Apr-15,30.935
7-Apr-15,31.04
8-Apr-15,31.115
9-Apr-15,31.255
10-Apr-15,31.245
13-Apr-15,31.335
14-Apr-15,31.236
15-Apr-15,31.208
16-Apr-15,31.075
17-Apr-15,31.025
20-Apr-15,31.078
21-Apr-15,31.095
22-Apr-15,31.084
23-Apr-15,31
24-Apr-15,30.713
27-Apr-15,30.426
28-Apr-15,30.449
29-Apr-15,30.41
30-Apr-15,30.616
1-May-15,30.749
4-May-15,30.72
5-May-15,30.648
6-May-15,30.595
7-May-15,30.793
8-May-15,30.678
11-May-15,30.817
12-May-15,30.755
13-May-15,30.665
14-May-15,30.523
15-May-15,30.429
18-May-15,30.494
19-May-15,30.523
20-May-15,30.468
21-May-15,30.425
22-May-15,30.454
25-May-15,30.495
26-May-15,30.668
27-May-15,30.66
28-May-15,30.653
29-May-15,30.828
1-Jun-15,30.884
2-Jun-15,30.809
3-Jun-15,30.79
4-Jun-15,30.9
5-Jun-15,31.055
8-Jun-15,31.08
9-Jun-15,31.164
10-Jun-15,30.876
11-Jun-15,30.933
12-Jun-15,30.919
15-Jun-15,30.909
16-Jun-15,30.879
17-Jun-15,30.933
18-Jun-15,30.719
19-Jun-15,30.727
22-Jun-15,30.752
23-Jun-15,30.883
24-Jun-15,30.975
25-Jun-15,30.947
26-Jun-15,31
29-Jun-15,30.879
30-Jun-15,30.894
1-Jul-15,30.953
2-Jul-15,30.89
3-Jul-15,30.88
6-Jul-15,30.93
7-Jul-15,31.08
